Chromosome	Position_bp	Rate
chrX	0	1.10307099355224
chrX	500	1.62104889820411e-14
chrX	1000	1.68678817115824
chrX	1500	6.44381466784965
chrX	2000	0.352573872083508
chrX	2500	0.0923104843557509
chrX	3000	0.0206262047305517
chrX	3500	2.74922903004664
chrX	4000	0.271988819698592
chrX	4500	0.0407613074113924
chrX	5000	0.361790578464687
chrX	5500	1.44393709737191
chrX	6000	3.5168045515211
chrX	6500	1.86015183454668
chrX	7000	0.0333921915063997
chrX	7500	1.42843190454425e-05
chrX	8000	0.0223909627189935
chrX	8500	3.97524926628604e-06
chrX	9000	0.0316623452000683
chrX	9500	2.00992703019417e-08
chrX	10000	0.000224967362300898
chrX	10500	0.0836518949971023
chrX	11000	8.33961309005408e-05
chrX	11500	0.00193820680319263
chrX	12000	1.54210251857664e-07
chrX	12500	8.25681281559985
chrX	13000	0.00312033140101011
chrX	13500	0.028898085867602
chrX	14000	0.000329199178111316
chrX	14500	5.61770157738453
chrX	15000	0.970482202747034
chrX	15500	0.000626850250051586
chrX	16000	0.000826356568152425
chrX	16500	1.49140685124132
chrX	17000	0.0323114169313123
chrX	17500	4.12076041743783e-12
chrX	18000	2.96513805655981e-06
chrX	18500	4.03722200174526
chrX	19000	0.00124691095368946
chrX	19500	0.295371158188981
chrX	20000	7.66714776807559e-06
chrX	20500	0.00540639043840807
chrX	21000	13.1149874327952
chrX	21500	0.375465298523427
chrX	22000	6.19367421363108e-06
chrX	22500	0.0492090477322434
chrX	23000	8.46191198652127
chrX	23500	0.000353933067333732
chrX	24000	0.211981830239762
chrX	24500	0.00131744579156114
chrX	25000	6.54875669433001
chrX	25500	1.80832772780563e-06
chrX	26000	0.0589274928501024
chrX	26500	2.1436236296463
chrX	27000	1.0010693673029
chrX	27500	2.07500748504297e-13
chrX	28000	2.36241377656191e-06
chrX	28500	2.66937557915155
chrX	29000	26.4156136730082
chrX	29500	0.0196032273627028
chrX	30000	3.005853748745e-11
chrX	30500	7.86471817235684e-05
chrX	31000	10.4455113035913
chrX	31500	0.000719261813999696
chrX	32000	0.114544054877326
chrX	32500	1.58449105127777
chrX	33000	0.279754245635921
chrX	33500	0.609566503258669
chrX	34000	3.70755149370451e-06
chrX	34500	2.12813143971185
chrX	35000	0.00194549435834969
chrX	35500	0.0887945567640077
chrX	36000	0.00203957732855557
chrX	36500	0.0116590568092572
chrX	37000	0.163715963245006
chrX	37500	1.79644772240935
chrX	38000	1.54415146925293
chrX	38500	0.286270849051077
chrX	39000	0.0428475783723182
chrX	39500	0.102277026996889
chrX	40000	3.50975981628892e-09
chrX	40500	8.786237677596e-07
chrX	41000	1.86185447530484
chrX	41500	0.00398959972936144
chrX	42000	9.98608018796034e-08
chrX	42500	3.23104471995499e-05
chrX	43000	0.235190374383095
chrX	43500	4.6110658042562
chrX	44000	0.928082631609323
chrX	44500	9.48002331202333e-15
chrX	45000	1.49589664070835
chrX	45500	6.54850325344428e-06
chrX	46000	8.20843479929606
chrX	46500	9.32007235434333e-08
chrX	47000	1.62968086480854
chrX	47500	0.0296853032522163
chrX	48000	14.2338281069961
chrX	48500	2.12800029572979e-05
chrX	49000	0.319271644414053
chrX	49500	0.0146665017532048
chrX	50000	0.575438844249
chrX	50500	0.590647253896297
chrX	51000	1.21008278765684
chrX	51500	0.00308759237217288
chrX	52000	0.00562476323115205
chrX	52500	0.000115945636382859
chrX	53000	0.00258151090961288
chrX	53500	10.5845888658499
chrX	54000	0.023581943898936
chrX	54500	5.0743844059257
chrX	55000	0.0218930144986546
chrX	55500	2.25310655320396e-07
chrX	56000	0.04512730284701
chrX	56500	0.00279058647923737
chrX	57000	0.379926974460011
chrX	57500	33.6525788647321
chrX	58000	0.0149638933865632
chrX	58500	1.21296468902856
chrX	59000	5.17061106772057e-06
chrX	59500	2.14045047473953e-05
chrX	60000	0.029625042967281
chrX	60500	0.00322398414462284
chrX	61000	0.12895227488317
chrX	61500	0.00582348937237418
chrX	62000	1.67670728973392e-05
chrX	62500	5.63445951075854e-06
chrX	63000	0.819740659734233
chrX	63500	0.0252463549829941
chrX	64000	3.07680072090439
chrX	64500	5.7526396367768e-07
chrX	65000	0.000858856809167092
chrX	65500	23.3941437694602
chrX	66000	0.416670433923222
chrX	66500	9.09102106587083e-06
chrX	67000	0.0203340782008719
chrX	67500	1.74706142696033e-11
chrX	68000	0.137479710990153
chrX	68500	3.1634782611403
chrX	69000	6.18910262518973e-06
chrX	69500	0.0045751292602444
chrX	70000	0.0110225771403076
chrX	70500	0.00137179998218214
chrX	71000	0.0336686666158924
chrX	71500	5.0951033601538
chrX	72000	2.2266784695117e-08
chrX	72500	4.26213354023023
chrX	73000	0.0144312305763444
chrX	73500	4.59404787950199e-05
chrX	74000	6.04540533233245
chrX	74500	0.535519234049558
chrX	75000	0.0314501414630716
chrX	75500	0.00620333196617151
chrX	76000	0.0209170331767784
chrX	76500	2.23962997108168e-06
chrX	77000	1.94865312234967e-05
chrX	77500	0.110291079784578
chrX	78000	2.80900922124108e-10
chrX	78500	8.09280385158936
chrX	79000	0.536692277144017
chrX	79500	0.0419419993135393
chrX	80000	7.95223376028419e-06
chrX	80500	3.92355459415655
chrX	81000	0.0422013573989237
chrX	81500	0.0484626094303947
chrX	82000	0.000526644996507869
chrX	82500	2.03196433675382
chrX	83000	0.0361893543555323
chrX	83500	0.104685069999781
chrX	84000	0.209320184290057
chrX	84500	0.129383197824154
chrX	85000	1.16602017070302
chrX	85500	0.50081055552291
chrX	86000	4.32678766401598
chrX	86500	0.420442223362741
chrX	87000	0.0179559993791033
chrX	87500	0.000164132129771319
chrX	88000	1.07656042353652e-05
chrX	88500	2.40290011879972e-06
chrX	89000	3.86934410809936e-06
chrX	89500	0.000262681701345677
chrX	90000	0.000392916220808642
chrX	90500	0.668034801967405
chrX	91000	0.858073763463618
chrX	91500	4.69511439323172
chrX	92000	6.39771422426568e-07
chrX	92500	1.10671509555114e-09
chrX	93000	0.290981568664408
chrX	93500	0.00179300280097711
chrX	94000	0.257504410714957
chrX	94500	4.02723400790325
chrX	95000	2.43242492040474
chrX	95500	0.148167581686657
chrX	96000	0.00212708228246316
chrX	96500	0.00496134939441346
chrX	97000	2.0335745908584
chrX	97500	0.000143780468214846
chrX	98000	2.11909253063035
chrX	98500	1.25755844358666
chrX	99000	7.77272287568171
chrX	99500	7.62495795432011e-05
chrX	1e+05	1.71706537799224
chrX	100500	0.00695829159942389
chrX	101000	0.200229892640057
chrX	101500	0.00581573448465573
chrX	102000	2.76767743748991
chrX	102500	0.000266399376215047
chrX	103000	1.86690348285768
chrX	103500	7.0693449317111
chrX	104000	3.09922588505878
chrX	104500	0.000551914896773575
chrX	105000	12.1554514601506
chrX	105500	0.000175749398198744
chrX	106000	12.907639268375
chrX	106500	1.05942095123945
chrX	107000	3.56501982245549
chrX	107500	0.266481049841509
chrX	108000	4.59266923111552e-07
chrX	108500	0.132097954503676
chrX	109000	0.0106432664183753
chrX	109500	10.3332264322797
chrX	110000	0.000266033654941529
chrX	110500	0.500824742685217
chrX	111000	0.0952681513920685
chrX	111500	0.0212696670336104
chrX	112000	0.000115229123159226
chrX	112500	0.00101783946849999
chrX	113000	0.0318379658127911
chrX	113500	0.0940974059415504
chrX	114000	0.186669275386454
chrX	114500	15.0988836230634
chrX	115000	0.000245334761985745
chrX	115500	0.0193857853692471
chrX	116000	2.31292298080882
chrX	116500	0.2444317143733
chrX	117000	4.00029999837864e-11
chrX	117500	0.0430893913882129
chrX	118000	0.175180005905455
chrX	118500	1.79026829283404e-07
chrX	119000	0.0486785432195708
chrX	119500	2.34172758050588e-07
chrX	120000	1.45408269886848e-06
chrX	120500	1.7097360006196
chrX	121000	3.61074639947033e-05
chrX	121500	0.00572388884505342
chrX	122000	7.2707006948476e-09
chrX	122500	0.00834580434817613
chrX	123000	0.0331273930190067
chrX	123500	0.188787767446747
chrX	124000	0.103385580027146
chrX	124500	1.4009752759649
chrX	125000	3.0299588795397e-09
chrX	125500	1.39110118663097e-13
chrX	126000	0.387353719245906
chrX	126500	0.145121568214808
chrX	127000	2.0722919854242e-06
chrX	127500	1.03413434564548
chrX	128000	0.0939878108463198
chrX	128500	1.55528485875025e-05
chrX	129000	1.41386433945566e-07
chrX	129500	1.86946736743524e-05
chrX	130000	2.90035399088252
chrX	130500	0.275881245105166
chrX	131000	2.77072669800667e-09
chrX	131500	0.0427116404050417
chrX	132000	0.0632835539386753
chrX	132500	5.91560172326357
